title,text_url
70个NumPy分级练习：用Python一举搞定机器学习矩阵运算,https://www.toutiao.com/a6527910077834199566/
Python精讲Numpy基础，大牛笔记详细解释,https://www.toutiao.com/a6507860948487766531/
Pandas，Numpy，Scipy中20个最常用的函数,https://www.toutiao.com/a6350804864013271298/
数据分析——numpy详解2,https://www.toutiao.com/a6547456185761530376/
简述Numpy的操作及算法,https://www.toutiao.com/a6551549108358742531/
Python和Numpy 处理音频指纹 一,https://www.toutiao.com/a6348681614709113090/
入门numpy（上）—解读numpy官方文档,https://www.toutiao.com/a6436949771914625282/
Numpy 学习笔记,https://www.toutiao.com/a6426197214482219266/
一份Python和Numpy的精华入门,https://www.toutiao.com/a6555584494265434637/
仅使用NumPy完成卷积神经网络CNN的搭建（附Python代码）,https://www.toutiao.com/a6549418618327663108/
从零开始用Python3做数据分析,https://www.toutiao.com/a6557162588809986567/
使用Python进行科学计算：NumPy入门,https://www.toutiao.com/a6315924352198705409/
资源｜用Python和NumPy学习《深度学习》中的线性代数基础,https://www.toutiao.com/a6556034018108768776/
Python--matplotlib绘图可视化知识点整理,https://www.toutiao.com/a6528193292973113869/
入门｜数据科学初学者必知的NumPy基础知识,https://www.toutiao.com/a6546809167783395844/
NumPy能力大评估：这里有70道测试题,https://www.toutiao.com/a6528260376834867715/
基于Numpy实现神经网络：合成梯度,https://www.toutiao.com/a6555370547117556237/
Numpy将放弃Python 2.7，Python 2.7支持将于2020年1月1日终止,https://www.toutiao.com/a6532706874179977741/
numpy属性方法合集,https://www.toutiao.com/a6458488956890645005/
python项目之使用Numpy小结,https://www.toutiao.com/a6429624845394493697/
MachineLearning：机器学习算法纯 numpy 实现,https://www.toutiao.com/a6475277328334782734/
Numpy学习笔记（二）（附代码）,https://www.toutiao.com/a6551551662375305741/
组归一化 Group Normalization的使用,https://www.toutiao.com/a6547629238474768900/
Python数据分析之Numpy应用（视频）,https://www.toutiao.com/a6386480746084925698/
人工智能的第一步，NumPy常用函数库大全，一定要收藏起来,https://www.toutiao.com/a6534295682717581831/
Python NumPy模块 索引和切片的详细介绍 布尔型索引的应用,https://www.toutiao.com/a6535000492131484173/
PyTorch 0.2发布：更多NumPy特性，高阶梯度等,https://www.toutiao.com/a6451764180142784782/
"Python中Numpy,Pandas,Scipy等介绍",https://www.toutiao.com/a6428173526465429762/
python数据分析工具——Pandas、StatsModels、Scikit-Learn,https://www.toutiao.com/a6531342941015769614/
「入门」TensorFlow中的基本操作，与Numpy类型的无缝衔接,https://www.toutiao.com/a6556199043230335492/
享学课堂-使用NumPy进行数据分析,https://www.toutiao.com/a6537808076186059272/
Python NumPy数组ndarray和矢量计算 NumPy操作 zeros和ones等,https://www.toutiao.com/a6534274924918342157/
多款python数据可视化工具汇总,https://www.toutiao.com/a6555351399142523395/
Python之Numpy初识,https://www.toutiao.com/a6507746158075445768/
NumPy 数组基础操作入门 丨数析学院,https://www.toutiao.com/a6346063794451693825/
python实现图片转换成手绘图像（附源码）,https://www.toutiao.com/a6536837632456917507/
Python知识分享之Numpy库！,https://www.toutiao.com/a6519364147480625671/
零基础入门到精通：Python大数据与机器学习之NumPy初体验,https://www.toutiao.com/a6548000496647406088/
使用交互代码在Numpy和Tensorflow中使用示例了解批规范化,https://www.toutiao.com/a6537922363684553229/
NumPy首次获得资助，感谢摩尔基金会,https://www.toutiao.com/a6436924977644028162/
零基础入门到精通：Python大数据与机器学习之NumPy练习题和答案,https://www.toutiao.com/a6548899193052725763/
入门numpy（50%-65%）「解读numpy官方文档」,https://www.toutiao.com/a6441414706363941122/
NumPy 中的数组计算：统计汇总,https://www.toutiao.com/a6351178967886037249/
Python 中的 Numpy 总结,https://www.toutiao.com/a6492315458782364173/
python与线性代数 生成矩阵,https://www.toutiao.com/a6533488310839411203/
学习｜NumPy常用函数总结（一）,https://www.toutiao.com/a6438729356001181954/
12种用于Python数据分析的Pandas技巧,https://www.toutiao.com/a6556100922471088644/
"numpy where(condition「,x,y」）的用法",https://www.toutiao.com/a6435911842347221249/
